"Time Created","Screen Name","Follower Count","Full Text","Location","Hashtags","Mentions","Platform"
"Mon Apr 03 05:26:05 +0000 2017","avanconia","15736","@RussiawithoutBS @RepAdamSchiff If you say there's no evidence in this twitter moment: https://t.co/nja2SKCop2 then… https://t.co/E6tFE0c3lW","behind liberal enemy lines","[]","[u'Russia Without BS', u'Adam Schiff']","Twitter Web Client"
"Mon Apr 03 05:26:08 +0000 2017","ChristoriaCrea1","18","RT @SaraAndreaNeill: I bet the US tries to influence this election!! #WIKILEAKS #equador #Russia 
#russianhacking #doublestandards 
https:/…","Ontario, Canada","['WIKILEAKS', 'equador', 'Russia', 'russianhacking', 'doublestandards']","[u'Sara Andrea-Neill']","Android"
"Mon Apr 03 05:26:13 +0000 2017","Misty__Bella","1671","RT @JayPPorter: Not only is #RussianCollusion falling apart (#SusanRice) but #RussianHacking narrative is unraveling too. https://t.co/Q83u…","","['RussianCollusion', 'SusanRice', 'RussianHacking']","[u'Jay P. Porter \u0646']","iPad"
"Mon Apr 03 05:27:51 +0000 2017","ChristoriaCrea1","18","@DonaldTrump #WIKILEAKS #ImpeachDonaldTrump #Russia #Russia #russiagate https://t.co/TErl520w3M","Ontario, Canada","['WIKILEAKS', 'ImpeachDonaldTrump', 'Russia', 'Russia', 'russiagate']","[u'Donald J. Trump']","Android"
"Mon Apr 03 05:27:55 +0000 2017","susan_gaustad","180","RT @GemsfromMaine: @puppymnkey They are all going down, including Kushner. Get the popcorn ready. #russianlies #russianhacking this is #NOT…","","['russianlies', 'russianhacking']","[u'gem gal', u'ImpeachAgentOrangsky']","iPad"
"Mon Apr 03 05:28:39 +0000 2017","nyvs69","58","RT @RepSwalwell: ""Some outside things have happened."" 

Translation: the same interference that helped @realDonaldTrump is helping…","","[]","[u'Rep. Eric Swalwell', u'Donald J. Trump']","Twitter Web Client"
"Mon Apr 03 05:28:46 +0000 2017","Innana3A","84","They're still interfering with bot posts on #trumpcare resulting in an uptick in support #russianhacking https://t.co/nztQKwPkcu","Ontario, Canada","['trumpcare', 'russianhacking']","[]","iPad"
"Mon Apr 03 05:29:28 +0000 2017","MarleyKD","129","RT @RepSwalwell: ""Some outside things have happened."" 

Translation: the same interference that helped @realDonaldTrump is helping…","","[]","[u'Rep. Eric Swalwell', u'Donald J. Trump']","iPhone"
"Mon Apr 03 05:29:51 +0000 2017","Ir2much4u","835","RT @avanconia: @4TruthAndReason @twitmeagainnow @CohenTisha @RepAdamSchiff @realDonaldTrump @docdhj @zerohedge @Breitbart https://t.co/nja2…","florida","[]","[u""MAGA.Wreck'nBall1861"", u'4\u0393ruth.\u039bnd.\u042feaso\u0438', u'\U0001f44aTragedy&Hope101\U0001f44a', u'FLIPPER4TRUMP', u'Adam Schiff', u'Donald J. Trump', u'Dr. Dave Janda \U0001f1fa\U0001f1f8', u'zerohedge', u'Andrew Breitbart']","iPad"
"Mon Apr 03 05:30:12 +0000 2017","TitaSantucci_","1204","RT @avanconia: ⚡️UPDATED⚡️
🔥VINDICATION🔥
🚨💥#RussianHacking A LIE! PROOF IS HERE💥🚨
SHARE NOW - RETWEET ALL - BREAK THE COVER UP
🔥👉🔗…","Chicago, IL","['RussianHacking']","[u""MAGA.Wreck'nBall1861""]","iPhone"
